fighter,height
Leonardo Santos,72.00003888
Nasrat Haqparast,70.00003780000002
Islam Makhachev,70.00003780000002
Uros Medic,73.00003942
Alexander Hernandez,69.00003726
Michael Johnson,70.00003780000002
Diego Ferreira,69.00003726
Dan Hooker,72.00003888
Dustin Poirier,69.00003726
Arman Tsarukyan,67.00003618000001
Mike Davis,72.00003888
Renato Moicano,71.00003834
Tony Ferguson,71.00003834
Gabriel Benitez,68.00003672
Matt Wiman,70.00003780000002
Paul Felder,71.00003834
Chris Gruetzemacher,68.00003672
Bobby Green,70.00003780000002
Khabib Nurmagomedov,70.00003780000002
Joel Alvarez,75.00004050000001
Mateusz Gamrot,70.00003780000002
Jamie Mullarkey,72.00003888
Luigi Vendramini,68.00003672
Brad Riddell,67.00003618000001
Ottman Azaitar,68.00003672
Austin Hubbard,70.00003780000002
Jim Miller,68.00003672
Beneil Dariush,70.00003780000002
Lando Vannata,69.00003726
Francisco Trinaldo,69.00003726
Joe Duffy,70.00003780000002
Marc Diakiese,70.00003780000002
Davi Ramos,66.00003564
Luis Pena,75.00004050000001
Clay Guida,67.00003618000001
Frank Camacho,70.00003780000002
Charles Rosa,69.00003726
Roosevelt Roberts,74.00003996000001
Kevin Lee,69.00003726
Mark Madsen,68.00003672
Jalin Turner,75.00004050000001
Brok Weaver,72.00003888
Anthony Pettis,70.00003780000002
Drew Dober,68.00003672
Dong Hyun Ma,71.00003834
Joe Solecki,69.00003726
Charles Oliveira,70.00003780000002
Alexander Yakovlev,75.00004050000001
Alex White,72.00003888
Joe Lauzon,70.00003780000002
Matt Frevola,69.00003726
Al Iaquinta,70.00003780000002
Claudio Puelles,71.00003834
Donald Cerrone,73.00003942
Kyle Prepolec,70.00003780000002
Edson Barboza,71.00003834
Mairbek Taisumov,69.00003726
Don Madge,72.00003888
Damir Ismagulov,69.00003726
Devonte Smith,69.00003726
Christos Giagos,70.00003780000002
Kazula Vargas,68.00003672
Joaquim Silva,68.00003672
Scott Holtzman,69.00003726
Olivier Aubin-Mercier,69.00003726
James Vick,75.00004050000001
Jared Gordon,69.00003726
Stevie Ray,70.00003780000002
Damir Hadzovic,69.00003726
Nick Hein,66.00003564
Desmond Green,70.00003780000002
Thiago Moises,69.00003726
BJ Penn,69.00003726
Gilbert Burns,70.00003780000002
Magomed Mustafaev,68.00003672
Max Holloway,71.00003834
Ross Pearson,68.00003672
John Makdessi,68.00003672
Rustam Khabilov,68.00003672
Callan Potter,72.00003888
Gregor Gillespie,67.00003618000001
Dennis Bermudez,66.00003564
Alex Gorgees,74.00003996000001
Mizuto Hirota,67.00003618000001
Devin Powell,72.00003888
Michael Trizano,71.00003834
Thibault Gouti,70.00003780000002
Te Edwards,68.00003672
Gray Maynard,69.00003726
Justin Gaethje,71.00003834
Kajan Johnson,71.00003834
Eddie Alvarez,69.00003726
Michael Chiesa,73.00003942
John Gunther,69.00003726
Nik Lentz,68.00003672
Evan Dunham,70.00003780000002
Sage Northcutt,72.00003888
Damien Brown,70.00003780000002
Michel Prazeres,66.00003564
Alan Patrick,71.00003834
Jordan Rinaldi,70.00003780000002
Erik Koch,70.00003780000002
Vinc Pichel,70.00003780000002
James Krause,74.00003996000001
David Teymur,69.00003726
Hacran Dias,68.00003672
Marcin Held,69.00003726
Takanori Gomi,67.00003618000001
Anthony Rocco Martin,72.00003888
Jason Saggo,71.00003834
Mitch Clarke,70.00003780000002
Alvaro Herrera Mendoza,72.00003888
Joshua Burkman,70.00003780000002
Frankie Perez,71.00003834
Danny Henry,72.00003888
Reza Madadi,71.00003834
Will Brooks,70.00003780000002
Josh Emmett,66.00003564
Abel Trujillo,68.00003672
Jason Gonzalez,74.00003996000001
Yusuke Kasuya,67.00003618000001
Jake Matthews,71.00003834
Martin Bravo,68.00003672
Diego Sanchez,70.00003780000002
Rafael Dos Anjos,68.00003672
Marco Polo Reyes,71.00003834
Lukasz Sajewski,68.00003672
Glaico Franca Moreira,72.00003888
Chris Wade,70.00003780000002
Shane Campbell,72.00003888
Chad Laprise,70.00003780000002
Jeremy Kennedy,71.00003834
Cesar Arzamendia,71.00003834
Jon Tuck,71.00003834
Yan Cabral,71.00003834
Efrain Escudero,69.00003726
Norman Parke,71.00003834
Teemu Packalen,73.00003942
Joe Proctor,70.00003780000002
Julian Erosa,73.00003942
Artem Lobov,69.00003726
Tae Hyun Bang,69.00003726
Horacio Gutierrez,70.00003780000002
Valmir Lazaro,72.00003888
Alex Oliveira,71.00003834
Gleison Tibau,70.00003780000002
Adriano Martins,70.00003780000002
Francisco Trevino,69.00003726
Naoyuki Kotani,68.00003672
Sam Stout,69.00003726
Anthony Christodoulou,69.00003726
Daron Cruickshank,68.00003672
Ramsey Nijem,71.00003834
Mickael Lebout,71.00003834
Josh Thomson,70.00003780000002
Yosdenis Cedeno,68.00003672
Piotr Hallmann,69.00003726
Gilbert Melendez,69.00003726
Zhang Lipeng,71.00003834
Marcin Bandel,70.00003780000002
Jorge Masvidal,71.00003834
Leonardo Mafra,70.00003780000002
Jorge de Oliveira,68.00003672
Jake Lindsey,71.00003834
Ivan Jorge,69.00003726
James Moontasri,70.00003780000002
Johnny Case,70.00003780000002
Danny Castillo,69.00003726
Elias Silverio,71.00003834
Jamie Varner,68.00003672
David Michaud,69.00003726
Joe Ellenberger,69.00003726
Yves Edwards,69.00003726
Leandro Silva,69.00003726
Fabricio Camoes,70.00003780000002
Myles Jury,70.00003780000002
Kazuki Tokudome,71.00003834
Yancy Medeiros,70.00003780000002
Benson Henderson,69.00003726
Akbarh Arreola,70.00003780000002
Justin Salas,68.00003672
Jesse Ronson,70.00003780000002
Colton Smith,72.00003888
Rodrigo Damm,67.00003618000001
Anthony Njokuani,73.00003942
Mark Bocek,68.00003672
Renee Forte,67.00003618000001
Rafaello Oliveira,68.00003672
Ernest Chavez,68.00003672
Cristiano Marcello,69.00003726
Isaac Vallie-Flagg,68.00003672
Charlie Brenneman,70.00003780000002
Katsunori Kikuno,68.00003672
Thiago Tavares,67.00003618000001
George Sotiropoulos,70.00003780000002
Pat Healy,72.00003888
Mike Ricci,72.00003888
Ryan Couture,70.00003780000002
Mac Danzig,68.00003672
Aaron Riley,68.00003672
Lucas Martins,72.00003888
Nate Diaz,72.00003888
Tim Means,74.00003996000001
Paul Sass,72.00003888
Terry Etim,73.00003942
Jacob Volkmann,69.00003726
TJ Grant,70.00003780000002
Melvin Guillard,69.00003726
Mike Rio,70.00003780000002
Colin Fletcher,74.00003996000001
Brendan Loughnane,70.00003780000002
Marcus LeVesseur,69.00003726
Zhang Tiequan,68.00003672
John Alessio,70.00003780000002
Henry Martinez,67.00003618000001
Justin Lawrence,68.00003672
Cody McKenzie,72.00003888
Frankie Edgar,66.00003564
Anton Kuivanen,68.00003672
Kamal Shalorus,68.00003672
Dennis Siver,66.00003564
Shane Roller,70.00003780000002
Cole Miller,73.00003942
Vagner Rocha,70.00003780000002
Danny Downes,72.00003888
Waylon Lowe,67.00003618000001
Kurt Pellegrino,68.00003672
Joe Stevenson,67.00003618000001
Maciej Jewtuszko,72.00003888
Paul Taylor,72.00003888
Jeremy Stephens,69.00003726
Pat Audinwood,72.00003888
Sako Chivitchian,71.00003834
Jonathan Brookins,72.00003888
Mike Lullo,68.00003672
Paul Kelly,69.00003726
Tyson Griffin,66.00003564
Spencer Fisher,67.00003618000001
Sean Sherk,66.00003564
Steve Lopez,71.00003834
Andre Winner,71.00003834
Kenny Florian,70.00003780000002
Darren Elkins,70.00003780000002
John Gunderson,69.00003726
Rob Emerson,69.00003726
Caol Uno,67.00003618000001
Duane Ludwig,70.00003780000002
Shannon Gugerty,70.00003780000002
Jason Dent,70.00003780000002
Kyle Bradley,69.00003726
George Roop,73.00003942
Shane Nelson,69.00003726
Matt Veach,71.00003834
Josh Neer,71.00003834
Junie Browning,69.00003726
Rolando Delgado,75.00004050000001
Dale Hartt,70.00003780000002
Hermes Franca,66.00003564
David Bielkheden,70.00003780000002
Per Eklund,70.00003780000002
Justin Buchholz,72.00003888
Rich Clementi,69.00003726
Marcus Aurelio,70.00003780000002
Manvel Gamburyan,65.0000351
Jorge Gurgel,67.00003618000001
Corey Hill,76.00004104
Roger Huerta,69.00003726
Alvin Robinson,69.00003726
Matt Grice,68.00003672
Leonard Garcia,70.00003780000002
Nate Mohr,69.00003726
Din Thomas,69.00003726
Junior Assuncao,69.00003726
Dustin Hazelett,73.00003942
Mark Hominick,68.00003672
Matt Serra,66.00003564
Genki Sudo,69.00003726
Jens Pulver,67.00003618000001
Tony DeSouza,72.00003888
Laverne Clark,71.00003834
Shonie Carter,70.00003780000002
Dave Menne,70.00003780000002
Bob Cook,69.00003726
Matt Hughes,69.00003726
Marcelo Mello,67.00003618000001
Mikey Burnett,66.00003564
Pat Miletich,70.00003780000002
Kevin Jackson,70.00003780000002
Joe Moreira,71.00003834
Tony Fryklund,72.00003888
Guy Mezger,73.00003942
Enson Inoue,70.00003780000002
Tito Ortiz,75.00004050000001
Jerry Bohlander,71.00003834
Yoshiki Takahashi,71.00003834
Grant Dawson,70.00003780000002
Rafa Garcia,67.00003618000001
Aalon Cruz,72.00003888
Michael Chandler,68.00003672
Conor McGregor,69.00003726
Mason Jones,70.00003780000002
Rafael Fiziev,68.00003672
Justin Jaynes,67.00003618000001
Jordan Leavitt,69.00003726
Guram Kutateladze,71.00003834
Fares Ziam,73.00003942
Jessin Ayari,72.00003888
Alex Da Silva,68.00003672
Khama Worthy,71.00003834
Alexander Munoz,69.00003726
Jai Herbert,73.00003942
Roman Bogatov,68.00003672
Max Rohskopf,73.00003942
Kevin Aguilar,67.00003618000001
Omar Morales,71.00003834
Drakkar Klose,69.00003726
Steve Garcia,72.00003888
Josh Culibao,70.00003780000002
Jonathan Pearce,72.00003888
Thomas Gifford,73.00003942
Danilo Belluardo,72.00003888
Marcos Mariano,73.00003942
Dan Moret,72.00003888
Charles Jourdain,69.00003726
Kurt Holobaugh,71.00003834
Jesus Pinedo,70.00003780000002
Ryan Hall,70.00003780000002
Kyle Nelson,71.00003834
Darrell Horcher,70.00003780000002
Joe Giannetti,72.00003888
Richie Smullen,69.00003726
Allan Zuniga,67.00003618000001
Felipe Silva,72.00003888
Michel Quinones,70.00003780000002
Mads Burnell,68.00003672
Andrew Holbrook,71.00003834
Daniel Teymur,65.0000351
Michael McBride,73.00003942
Rashid Magomedov,69.00003726
Alex Ricci,71.00003834
JC Cottrell,69.00003726
Brendan O'Reilly,67.00003618000001
Alexander Volkanovski,66.00003564
Jason Novelli,72.00003888
Rick Glenn,72.00003888
Cody Pfister,70.00003780000002
Enrique Marin,70.00003780000002
Mehdi Baghdad,73.00003942
Martin Svensson,73.00003942
KJ Noons,70.00003780000002
Felipe Olivieri,69.00003726
Tony Sims,71.00003834
Marcin Wrzosek,69.00003726
Abner Lloveras,71.00003834
Leo Kuntz,70.00003780000002
Enrique Barzola,67.00003618000001
Nazareno Malegarie,68.00003672
Fernando Bruno,66.00003564
Justin Edwards,70.00003780000002
Bryan Barberena,72.00003888
Cain Carrizosa,68.00003672
Josh Shockley,73.00003942
Rodrigo de Lima,67.00003618000001
Garett Whiteley,72.00003888
Damon Jackson,71.00003834
Tiago dos Santos e Silva,69.00003726
Jerrod Sanders,68.00003672
Juan Manuel Puig,69.00003726
Dashon Johnson,67.00003618000001
Jason High,68.00003672
Ben Wall,70.00003780000002
Mike de la Torre,71.00003834
Yui Chul Nam,69.00003726
Quinn Mulhern,75.00004050000001
Roger Bowling,69.00003726
John Maguire,69.00003726
John Cholish,71.00003834
Jeremy Larsen,70.00003780000002
Caros Fodor,69.00003726
CJ Keith,72.00003888
John Cofer,69.00003726
Mike Wilkinson,67.00003618000001
Carlo Prater,71.00003834
Yoislandy Izquierdo,71.00003834
Bernardo Magalhaes,69.00003726
Sam Sicilia,68.00003672
Chris Tickle,69.00003726
Chris Saunders,68.00003672
Eiji Mitsuoka,67.00003618000001
Tommy Hayden,69.00003726
Dennis Hallman,69.00003726
Shamar Bailey,69.00003726
TJ O'Brien,74.00003996000001
Curt Warburton,72.00003888
Kyle Watson,72.00003888
Gabe Ruediger,70.00003780000002
Willamy Freire,68.00003672
Marcus Davis,70.00003780000002
Antonio McKee,68.00003672
Aaron Wilkinson,70.00003780000002
Mark Holst,72.00003888
Dan Lauzon,70.00003780000002
Joe Brammer,68.00003672
Ronys Torres,67.00003618000001
Phillipe Nover,69.00003726
Cameron Dollar,71.00003834
David Kaplan,67.00003618000001
Brian Cobb,71.00003834
John Polakowski,70.00003780000002
Jess Liaudin,69.00003726
Samy Schiavo,68.00003672
David Baron,66.00003564
Ryan Roberts,66.00003564
Jeff Cox,70.00003780000002
John Halverson,69.00003726
Keita Nakamura,71.00003834
Alberto Crane,65.0000351
Michihiro Omigawa,66.00003564
Joe Veres,67.00003618000001
Doug Evans,69.00003726
Luke Caudillo,67.00003618000001
Jason Reinhardt,66.00003564
Jason Black,68.00003672
Diego Saraiva,66.00003564
Allen Berube,68.00003672
Brian Geraghty,67.00003618000001
Andy Wang,66.00003564
Brandon Melendez,71.00003834
David Lee,70.00003780000002
Dokonjonosuke Mishima,67.00003618000001
Jason Gilliam,72.00003888
Justin James,70.00003780000002
Danny Abbadi,71.00003834
Rick Davis,69.00003726
Ivan Menjivar,66.00003564
Mike Brown,66.00003564
Jeff Curran,66.00003564
Nick Agallar,68.00003672
Gerald Strebendt,69.00003726
Eddie Ruiz,67.00003618000001
Richard Crunkilton,67.00003618000001
Leigh Remedios,67.00003618000001
Joao Pierini,73.00003942
Paul Creighton,66.00003564
Kelly Dullanty,68.00003672
Fabiano Iha,68.00003672
Paul Rodriguez,67.00003618000001
Joey Gilbert,71.00003834
John Lewis,72.00003888
Joao Roque,66.00003564
Koji Oishi,68.00003672
Brad Gumm,71.00003834
David Velasquez,65.0000351
Tiki Ghosn,70.00003780000002
Valeri Ignatov,69.00003726
David Roberts,73.00003942
Townsend Saunders,65.0000351
Chris Brennan,68.00003672
Eugenio Tadeu,68.00003672
Todd Butler,73.00003942
Yuri Vaulin,76.00004104
Donnie Chappell,71.00003834
Christophe Leninger,72.00003888
Royce Alger,70.00003780000002
Wes Albritton,70.00003780000002
Nick Sanzo,69.00003726
Rainy Martinez,72.00003888
Wallid Ismail,67.00003618000001
